name,phone,review_count,price,food_type,rating,address,town
Original Brooklyn Bagel,7182535928,33.0,$$,Bagels,4.5 star rating,2835 Nostrand Ave,Midwood
F&M Bagels,7188552623,33.0,$,"Bagels, Sandwiches, Delis",3.5 star rating,383 Van Brunt St,Red Hook
Bagel Express II,2128793960,33.0,$,"Delis, Bagels",2 star rating,1228 2nd Ave,Upper East Side
Ace Bagels,7182240014,33.0,$,"Bagels, Sandwiches",3.5 star rating,25305 Northern Blvd,Douglaston
Bagels Plus,7182321404,33.0,$$,"Bagels, Bakeries",3 star rating,7501 New Utrecht Ave,Bensonhurst
LIC Bagel & Deli,7187073333,33.0,,"Delis, Bagels",4 star rating,41-04 27th St,Long Island City
Bagelery,3475060737,33.0,,Bagels,3 star rating,156-19 Northern Blvd,Murray Hill
7 Bagels & Deli,7182971385,33.0,$,"Delis, Bagels",4 star rating,8515 Main St,Briarwood
Knapp Street Bagels,7189340200,34.0,$,Bagels,3 star rating,2771 Knapp St,Sheepshead Bay
Au Bon Pain,7184200846,34.0,$,"Coffee & Tea, Bagels, Sandwiches",2.5 star rating,1 Bay St,St. George
Linden Bagel Shop & Deli,9087185426,34.0,$,"Bagels, Delis",4 star rating,105 Wood Ave,
Bagels & More,2018861112,34.0,$,Bagels,3.5 star rating,1040 River Rd,
Java Day,7189615555,34.0,$,"Breakfast & Brunch, Sandwiches, Bagels",4 star rating,43 58 162nd St,Murray Hill
Bagel Doctor West,5163587400,34.0,$,Bagels,4 star rating,380 Franklin Ave,
Optimum Gourmet Deli,2124774400,35.0,$,"Delis, Bagels, Sandwiches",4.5 star rating,243 Broome St,Lower East Side
Peters Hot Bagels,7183521498,35.0,$,"Bagels, Bakeries",3 star rating,47-04 Bell Blvd,Bayside
Springtree Bagels,2015695636,35.0,$,Bagels,4 star rating,5 W Hudson Ave,
New York Bagel Stop,5163581610,35.0,$,Bagels,4.5 star rating,1011 Jericho Tpke,
Bagelman of Mineola,5162807445,35.0,$,Bagels,3.5 star rating,358 E Jericho Tpke,
Park Bagels,7183312090,35.0,$$,Bagels,4 star rating,1410 86th St,Dyker Heights
Pio Hot Bagels,7186056100,36.0,$,"Bagels, Delis",3.5 star rating,655 Rossville Ave,Rossville
Main Street Bagels,7187938100,36.0,$,"Bagels, Delis, Caterers",3 star rating,7226 Main St,Kew Gardens Hills
Greenbergs Bagels,3478600455,36.0,,"Bagels, Sandwiches",4 star rating,1065 Bedford Ave,Bedford Stuyvesant
Bagel Boss - Queens,7187362677,36.0,,"Kosher, Bagels, Caterers",4 star rating,69-48 Main St,Kew Gardens Hills
Sams Bagels,7186805700,37.0,$,"Bagels, Breakfast & Brunch, Sandwiches",4 star rating,7715 5th Ave,Bay Ridge
Rolen Bagels,7186015357,37.0,$,Bagels,3 star rating,3601 Riverdale Ave,Riverdale
Corner Gourmet II,2124062200,37.0,$,"Coffee & Tea, Bagels",2 star rating,66 W Broadway,TriBeCa
Lennys Bagels,9143555445,37.0,$,"Bagels, Delis, Sandwiches",3 star rating,4662 Boston Post Rd,
Bagels and Wraps,7187681052,38.0,$,Bagels,3 star rating,523 5th Ave,South Slope
Bagelette,7184590204,38.0,$,Bagels,3.5 star rating,9742 63rd Rd,Rego Park
Bagels By The Bay,7188154447,38.0,$,"Bagels, Breakfast & Brunch",3.5 star rating,1235 Bay St,Shore Acres
McLean Avenue Bagel Cafe,9147762000,38.0,$$,"Delis, Bagels",3.5 star rating,943 McLean Ave,
Bagels Plus,7185913615,38.0,$,"Bagels, Coffee & Tea, Sandwiches",3.5 star rating,70-39 Parsons Blvd,Pomonok
Dale Bagels,7182322368,38.0,$,Bagels,3.5 star rating,6201 18th Ave,Bensonhurst
The Bagel Factory,7187688300,39.0,$,Bagels,3.5 star rating,461 5th Ave,South Slope
Bagels N A Hole Lot More,5163552000,39.0,$,"Bagels, American (Traditional)",3 star rating,2093 Hillside Ave,
Jrs Bagels,7184686061,39.0,$,"Bagels, Delis",3 star rating,222-10 Union Turnpike Bayside,Oakland Gardens
Bagel Depot,7189488755,40.0,$$,Bagels,2.5 star rating,3854 Richmond Ave,Eltingville
Bagel Mentch,5164872243,40.0,$,"Bagels, Kosher",2.5 star rating,176 Middle Neck Rd,
Bagel Tree,6465598912,40.0,$,"Bagels, Burgers, Sandwiches",3.5 star rating,245 E 124th St,East Harlem
H & L Bagels,7187486626,41.0,$,Bagels,4 star rating,8818 3rd Ave,Bay Ridge
Bay Bagels,7189753123,41.0,$,"Bagels, Breakfast & Brunch",3 star rating,6302 Bay Pkwy,Bensonhurst
All American Bagel & Barista II,7189452233,41.0,$,"Bagels, Sandwiches",3.5 star rating,20-10 Cross Bay Blvd,
New York City Bagels & Deli Cafe,9082068880,42.0,$,"Bagels, Delis, Sandwiches",4.5 star rating,2264 US Hwy 22E,
Barbaras Bagels,5164843245,43.0,$$,"Caterers, Bagels",3.5 star rating,113 Mineola Ave,
Buongiorno Bagel Cafe,7188943356,43.0,$$,"Coffee & Tea, Bagels, Sandwiches",3.5 star rating,7010 88th St,Glendale
Bake City Bagels,7183390800,43.0,$,"Bakeries, Bagels, Breakfast & Brunch",4 star rating,357 Ave X,Gravesend
Broadway Hot Bagels,2013390704,43.0,$,"Bagels, Bakeries, Coffee & Tea",3.5 star rating,581 Broadway,
LIE Bagels,7182297101,43.0,$,Bagels,4.5 star rating,21025 Horace Harding Expy,
Tulip Bagels,5166160065,43.0,,"Bagels, Coffee & Tea, Breakfast & Brunch",3.5 star rating,175 Tulip Ave,
Reben Luncheonette Morir Soand,7183887696,44.0,$,"Breakfast & Brunch, Bagels, Sandwiches",4.5 star rating,229 Havemeyer St,Williamsburg - South Side
Cropsey Bagels & Deli,7189969700,44.0,$,"Bagels, Desserts, Delis",4 star rating,2819 Cropsey Ave,Coney Island
New York City Bagel & Coffee House,7187770324,44.0,$,"Sandwiches, Coffee & Tea, Bagels",3.5 star rating,2910 Broadway,Astoria
Gerritsen Beach Bagels,7189341454,44.0,$,"Bagels, Sandwiches, Bakeries",4 star rating,2712 Gerritsen Ave,Gerritson Beach
Bagels N Buns,7187611900,44.0,$,"Bagels, Bakeries, Coffee & Tea",3.5 star rating,2491 Victory Blvd,Westerleigh
US Bagels,5168231647,44.0,$,Bagels,4.5 star rating,155 Rockaway Ave,
Buk przez Bibuk,,45.0,$,"Breakfast & Brunch, Bagels, Sandwiches",4 star rating,ul. Puławska 24,Stary Mokotów
Village Square Bagels,9148346969,45.0,$$,Bagels,2.5 star rating,1262 Boston Post Rd,
My Three Sons Bagels,5162809210,45.0,$,Bagels,3.5 star rating,974 Franklin Ave,
Manor Bagels & Superette,7183701292,45.0,$$$$,"Bagels, Delis",2.5 star rating,931 Manor Rd,Castleton Corners
Rockaway Bagels,7184741372,45.0,$,Bagels,4 star rating,11408 Beach Channel Dr,Rockaway Park
What A Bagel,7183430303,45.0,$,Bagels,3 star rating,25701 Union Tpke,Floral Park
Bagel Town,5164668080,45.0,$,Bagels,2 star rating,45 Northern Blvd,
Bagel Man of Great Neck,5168297237,46.0,$,"Coffee & Tea, Bagels",3.5 star rating,491 Great Neck Rd,
Dichter Pharmacy & Soda Shoppe,2125691230,46.0,$,"Drugstores, Bagels",4.5 star rating,4953 Broadway,Inwood
Country Donuts,7189677111,47.0,$,"Bagels, Donuts, Juice Bars & Smoothies",3.5 star rating,3235 Richmond Ave,Great Kills
Heartland Bagels 2,7189668494,47.0,$,"Bagels, Donuts, Delis",4 star rating,1024 Rossville Ave,Rossville
Bagel Shoppe,7184236692,47.0,$,Bagels,3.5 star rating,21503 73rd Ave,Oakland Gardens
Cinos Hot Bagels,5164425301,48.0,$,"Bagels, Coffee & Tea, Sandwiches",4 star rating,2941 Long Beach Rd,
Bagels & Co.,2127170505,48.0,$,"Bakeries, Bagels, Pizza",3 star rating,1428 York Ave,Upper East Side
Bagel Haus,5167466262,48.0,$,"Bagels, Sandwiches, Breakfast & Brunch",3 star rating,2413 Jericho Tpke,
Wonder Bagels,2013390205,48.0,$,"Bagels, Coffee & Tea",3 star rating,311 Bayonne Crossing Way,
Wu & Nussbaum,2122220040,48.0,$$,"Chinese, Noodles, Bagels",3.5 star rating,2897 Broadway,Morningside Heights
We Bagel,7182551992,48.0,,"Coffee & Tea, Bagels, Juice Bars & Smoothies",4 star rating,47-11 11th St,Hunters Point
Knapp Street Bagel Cafe,7189431525,49.0,$,Bagels,2.5 star rating,2145 Knapp St,Marine Park
Bagel Club,7183524948,49.0,$,"Bagels, Sandwiches",2.5 star rating,208-14 Cross Island Pkwy,Bay Terrace
Champs Gourmet Deli,2123634000,49.0,$,"Delis, Bagels, Sandwiches",3.5 star rating,30 Broad St,Financial District
Wonder Bagels,2013241540,50.0,$,Bagels,3.5 star rating,431 Danforth Ave,
Corvo Coffee,9174092479,50.0,$,"Coffee & Tea, Bagels",4 star rating,270 W 39th St,Midtown West
The Brothers Deli & Bagel,7186800582,50.0,$,"Delis, Bagels, Sandwiches",4 star rating,7105 Fort Hamilton Pkwy,Dyker Heights
Columbus Cafe,2127219040,50.0,$,"Bagels, Delis",3.5 star rating,556 Columbus Ave,Upper West Side
Enjoy My Bagels,7188322435,51.0,$,Bagels,3 star rating,959 4th Ave,Sunset Park
Manhattan Bagel,2013549100,52.0,$,"Coffee & Tea, Bagels, Sandwiches",2 star rating,709 Broadway,
Wow Bagel,7183815700,52.0,$,"Bagels, Coffee & Tea, Breakfast & Brunch",3.5 star rating,6864 Fresh Pond Rd,Ridgewood
Queens Bagels & Delicatessen,3473924517,52.0,$,"Breakfast & Brunch, Bagels, Sandwiches",4.5 star rating,103-05 Metropolitan Ave,Forest Hills
Thompson Finest Deli,2123432337,53.0,$,"Delis, Bagels, Sandwiches",4 star rating,20 Thompson St,South Village
Bobby Spot Nuvo Cafe,3476491326,54.0,$,"Cafes, Bagels, Coffee & Tea",2.5 star rating,47-01 Van Dam St,Sunnyside
Bunch-O-Bagels,7186040634,54.0,$,"Bagels, Salad, Sandwiches",4 star rating,361 Troy Ave,Wingate
Old Country Bagel,7188459211,54.0,$,Bagels,3.5 star rating,16226A Crossbay Blvd,Howard Beach
Bagel Villa,7187451175,54.0,$,"Sandwiches, Breakfast & Brunch, Bagels",4 star rating,7221 5th Ave,Bay Ridge
Three Star Bagels,2012243745,55.0,$$,"Bagels, Delis",3 star rating,270 Columbia Ave,
Middle Village Bagels,7184578936,55.0,,"Bagels, Delis",3.5 star rating,79-16 Eliot Ave,Middle Village
Konditori,6466923229,55.0,$,"Coffee & Tea, Bakeries, Bagels",4 star rating,135 William St,Financial District
J & J Bagel,2019417100,56.0,$,"Delis, Bagels",4 star rating,576 Bergen Blvd,
Bagel Buffet,2129248911,57.0,$,"Bagels, Buffets",4 star rating,510 Ave Of Americas,Greenwich Village
Kosher Bagel Hole,7182584150,57.0,$,"Bagels, Breakfast & Brunch, Sandwiches",4 star rating,1423 Ave J,Midwood
Bagels On Bartow,7186715696,58.0,$,"Bagels, Breakfast & Brunch",4.5 star rating,2033 Bartow Ave,Co-op City
Fantastic Bagels,7182380733,58.0,$,"Bagels, Breakfast & Brunch",3.5 star rating,8614 4th Ave,Bay Ridge
Double J Deli,7183803515,58.0,$,"Bagels, Delis",3.5 star rating,16802 Union Tpke,Hillcrest
Bagels & Beans,9086863200,59.0,$,"Breakfast & Brunch, Bagels, Coffee & Tea",3.5 star rating,342 Chestnut St,
H & R Bialy,9145761411,59.0,$,Bagels,4 star rating,41 Quaker Ridge Rd,
Gramatan Bagel Cafe,9146677726,59.0,$,"Breakfast & Brunch, Bagels, Delis",2 star rating,552-554 Gramatan Ave,
La Luna Cafe,7186060094,59.0,$,"Bagels, Cafes",4 star rating,4401 30th Ave,Astoria
Hudson Bagel,2122451200,60.0,$,Bagels,3 star rating,691 9th Ave,Hell's Kitchen
Bagel Time,7187460686,60.0,$,"Bagels, Salad, Breakfast & Brunch",4.5 star rating,15051 14th Ave,Beechurst
Bagel Supreme,7187451108,60.0,$,"Bagels, Sandwiches, Breakfast & Brunch",3.5 star rating,9401 5th Ave,Fort Hamilton
Michaels Bagels,7187935794,61.0,$,"Bakeries, Bagels, Sandwiches",3.5 star rating,10827 Ascan Ave,Forest Hills
Mill Basin Bagel Cafe,7185313630,61.0,$,"Bagels, Bakeries, Breakfast & Brunch",2.5 star rating,6319 Ave N,Mill Basin
Roma Bagels And Pastry Cafe,7188864800,61.0,$$,"Bakeries, Coffee & Tea, Bagels",3.5 star rating,3331 Francis Lewis Blvd,Bayside
Traditional Bagel Caf,9146321045,62.0,$,Bagels,4.5 star rating,1279 North Ave,
Manhattan Bagel,9086874900,62.0,$,"Bagels, Breakfast & Brunch, Caterers",3.5 star rating,1350 Galloping Hill Rd,
Bagels Plus,7186397784,62.0,$,"Bagels, Breakfast & Brunch, Sandwiches",3 star rating,5720 Woodside Ave,Woodside
Russ & Daughters - Brooklyn,2124754880,63.0,$$,"Bagels, Bakeries, Delis",3 star rating,141 Flushing Ave,
Finns Bagels,2122730700,64.0,,"Coffee & Tea, Bagels, Sandwiches",3.5 star rating,477 10th Ave,Midtown West
Sofia & Grace Cookie,7184508034,66.0,$,"Coffee & Tea, Desserts, Bagels",4.5 star rating,163 Ralph Ave,Bedford Stuyvesant
Manor Bagels Caf,9142077435,67.0,$,"Bagels, Coffee & Tea, Sandwiches",4.5 star rating,46 Warburton Ave,
Bagel Hut,5164828939,67.0,$,Bagels,3.5 star rating,503 Middle Neck Rd,
Bagels and Cream,7189755101,67.0,$,"Bagels, Sandwiches, Coffee & Tea",3.5 star rating,1728 Eastchester Rd,
Pumpernickel Bagel,7183619422,68.0,$,"Bagels, Cafes, Desserts",3 star rating,2310 44th Dr,Long Island City
Bagel Story,,68.0,,"Delis, Bagels, Coffee & Tea",3 star rating,1237 Fulton St,Bedford Stuyvesant
P & C Bagels,7183268510,68.0,$,Bagels,3 star rating,7905 Metropolitan Ave,Middle Village
Bagels R Us,7189672299,68.0,$,Bagels,3.5 star rating,4300 Amboy Rd,Great Kills
Palisade Bagel,2013638899,68.0,$,"Bagels, Wraps, Sandwiches",3 star rating,1611 Palisade Ave,
Boulevard Bagel Cafe,7187771273,69.0,$,Bagels,2.5 star rating,30-07 Astoria Blvd,Astoria
Gourmet Bagel,2125353030,69.0,$,"Bagels, Breakfast & Brunch",2.5 star rating,874 Lexington Ave,Upper East Side
Brooklyn Barista,3478895755,69.0,$,"Coffee & Tea, Sandwiches, Bagels",4.5 star rating,880 Wyckoff Ave,Bushwick
Line Bagels,7184220001,70.0,$,"Sandwiches, Bagels, Burgers",3.5 star rating,476 Smith St,Carroll Gardens
New York Hot & Fresh Bagels,2123484395,71.0,$,"Bagels, Delis",3 star rating,1585 3rd Ave,Yorkville
Max Bialystok & Company,5164325300,72.0,$,"Bagels, Sandwiches, Coffee & Tea",3.5 star rating,159 E Park Ave,
JK Bakery,7185393563,72.0,$,"Bakeries, Bagels, Coffee & Tea",4 star rating,2914 Union St,Downtown Flushing
My Three Sons Bagel Cafe,5164374447,72.0,$,Bagels,4 star rating,88 Covert Ave,
Bagel Bazaar,7189967440,73.0,$,Bagels,4 star rating,2208 86th St,Bath Beach
Bagels on Park,2013300625,74.0,,"Coffee & Tea, Bagels, Sandwiches",4.5 star rating,3506 Park Ave,
Wild Bagels,7183339453,74.0,$,Bagels,3.5 star rating,1901 Stillwell Ave,Gravesend
Olives,2128580111,74.0,$$,"Coffee & Tea, Breakfast & Brunch, Bagels",3.5 star rating,225 Liberty St,Battery Park
Bagel House IV,7185075573,75.0,$,"Breakfast & Brunch, Bagels, Sandwiches",3.5 star rating,8918 Northern Blvd,Jackson Heights
Andys Deli,2127993355,76.0,$,"Grocery, Bagels, Delis",3.5 star rating,418 Columbus Ave,Upper West Side
Cresskill Hot Bagels,2015693909,77.0,$,"Bagels, Cafes",2.5 star rating,23 Union Ave,
Metropolitan Cafe,2013133325,78.0,$,"Bagels, Burgers, Delis",3.5 star rating,153 Bergen Blvd,
Zee Bagels,3475548700,78.0,$,Bagels,4 star rating,2803 Ave U,Sheepshead Bay
Mixtape Bushwick,7183815248,78.0,$,"Coffee & Tea, Bagels, Sandwiches",4.5 star rating,1533 Myrtle Ave,Bushwick
Bagel World,7186432686,78.0,$,"Bagels, Breakfast & Brunch",3.5 star rating,223 Dekalb Ave,Fort Greene
Bagel Boss,5165698600,79.0,$$,Bagels,3 star rating,1352 Peninsula Blvd,
Park Terrace Deli,2125695990,79.0,$,"Delis, Bagels",3.5 star rating,510 W 218th St,Inwood
Bagel Boss - Roslyn Heights,5166265599,80.0,$$,"Bagels, Salad, Seafood",2.5 star rating,400 Willis Ave,
Buk przez Bibuk,,80.0,$,"Cafes, Breakfast & Brunch, Bagels",4.5 star rating,ul. Zgoda 3,Śródmieście
All American Bagel & Barista Company,7183227722,80.0,$,"Coffee & Tea, Breakfast & Brunch, Bagels",3.5 star rating,82-41 153rd Ave,Lindenwood
Park Avenue Bagels,2012104111,80.0,$,"Bagels, Sandwiches, Breakfast & Brunch",4 star rating,7015 Park Ave,
Myrtle Bagel,7188584916,82.0,$,"Bagels, Sandwiches",3.5 star rating,410 Myrtle Ave,Clinton Hill
Chakra Cafe,9294620051,84.0,,"Coffee & Tea, Breakfast & Brunch, Bagels",4.5 star rating,44-01 Queens Blvd,Sunnyside
Long Island Bagel Cafe - Mineola,5164275454,85.0,$,"Bagels, Delis",4 star rating,175 East Jericho Tpke,
Toast & Roast Bagels and Coffee,9294600308,85.0,$,"Bagels, Coffee & Tea, Sandwiches",4 star rating,3207 Broadway,Astoria
Adams Bagels & Deli,7185070839,85.0,$,"Bagels, Delis, Salad",3.5 star rating,6356 Woodhaven Blvd,Middle Village
Hot Bagels,7184385650,85.0,$,"Bagels, Sandwiches, Delis",4 star rating,127 Church Ave,Kensington
DOH,7326697626,86.0,$,"Coffee & Tea, Donuts, Bagels",4 star rating,77 E Milton Ave,
New York Bagels Deli & Catering,9146139741,86.0,$,"Bagels, Delis",4 star rating,1032 Yonkers Ave,
Manhattan Bagel,2018160008,86.0,$,"Breakfast & Brunch, Bagels, Sandwiches",3.5 star rating,14 West Palisade Ave,
Chelsea Bagel & Cafe,2124622435,87.0,$,"Bagels, Salad, Breakfast & Brunch",3 star rating,139 W 14th St,Chelsea
Hot Bialys & Bagels,7185440900,87.0,$,"Bakeries, Bagels, Coffee & Tea",4 star rating,116-63 Queens Blvd,Forest Hills
Brooklyn Standard,7182188810,87.0,$$,"Juice Bars & Smoothies, Coffee & Tea, Bagels",3 star rating,766 Grand St,East Williamsburg
Bagels & Co,7182177755,88.0,$$,Bagels,3 star rating,18802 Union Tpke,Fresh Meadows
Manhasset Bagels,5166278100,89.0,$,"Bagels, Coffee & Tea, Bakeries",3 star rating,510 Plandome Rd,
New York City Bagel & Coffee House,7187289512,89.0,$$,"Coffee & Tea, Breakfast & Brunch, Bagels",3.5 star rating,33-10 30th Ave,Astoria
Bagels For You,7187939200,89.0,$,"Bagels, Breakfast & Brunch, Sandwiches",3 star rating,11329 Queens Blvd,Forest Hills
Eastside Bagel & Appetizing,2127941655,89.0,$,Bagels,2.5 star rating,1496 1st Ave,Upper East Side
Lynbrook Bagels,5165960917,90.0,$,Bagels,3.5 star rating,26 Atlantic Ave,
Park Place Bagels,9147937114,90.0,$,"Bagels, Breakfast & Brunch, Sandwiches",4 star rating,9 Park Pl,
La Bagel Delight,7183989529,90.0,$,"Bagels, Breakfast & Brunch, Sandwiches",3 star rating,122 7th Ave,Park Slope
Binghamton Bagel & Deli,2019470003,91.0,$,"Bagels, Delis, Sandwiches",3 star rating,2151 Lemoine Ave,
Coney Island Bagels,7183321906,91.0,$,"Bagels, Coffee & Tea, Breakfast & Brunch",3 star rating,2829 Coney Island Ave,Brighton Beach
Bagels & Co,2124969400,91.0,$,Bagels,3.5 star rating,391 Amsterdam Ave,Upper West Side
Magic Bagels,5168728779,91.0,$,Bagels,4 star rating,194 W Merrick Rd,
Howard Beach Bagel Cafe,7188435700,91.0,$,Bagels,3.5 star rating,162-54 Crossbay Blvd,Howard Beach
Hudsons Grill,2013339977,92.0,$$,"Sandwiches, Breakfast & Brunch, Bagels",3 star rating,160 Greene St,
Cinnamon Girl,,92.0,$,"Coffee & Tea, Bagels, Vegan",3.5 star rating,277 Nostrand Ave,Bedford Stuyvesant
Bagel Bistro Diner & Grill,7187206919,93.0,$$,"Bakeries, Bagels, American (New)",2.5 star rating,1810 Victory Blvd,
Beach Bagel & Deli,5164317406,93.0,$,"Delis, Bagels",3.5 star rating,1090 W Beech St,
Big Johns Coffee Shop & Grill,7189651808,93.0,$,"Bagels, Breakfast & Brunch, American (Traditional)",4 star rating,876 4th Ave,Sunset Park
Slims,7182291140,94.0,$,"Bagels, Salad, Sandwiches",4 star rating,22118 Horace Harding Expy,Oakland Gardens
Inwood Bagels,2125697770,95.0,$,Bagels,3.5 star rating,628 W 207th St,Inwood
Liberty Bagel Cafe,7327388377,96.0,$,Bagels,3 star rating,326 New Brunswick Ave,
The Lazy Llama Coffee Bar,6464101938,96.0,$$,"Bakeries, Coffee & Tea, Bagels",4.5 star rating,72 E 1st Street,East Village
Teaneck Road Hot Bagels,2018330410,97.0,$,"Delis, Bagels, Kosher",4.5 star rating,976 Teaneck Rd,
Have-A-Bagel,7187820111,97.0,$,"Bagels, Cafes",4 star rating,197 Havemeyer St,Williamsburg - South Side
Best Bagels,5164829860,97.0,$,"Bakeries, Bagels",3 star rating,40 Middle Neck Rd,
Milk & Pull,7188211155,98.0,$,"Coffee & Tea, Bagels, Sandwiches",3.5 star rating,778 Seneca Ave,Ridgewood
Yorkville Bagel & Cafe,2129966544,98.0,$,"Bagels, Cafes, Juice Bars & Smoothies",4 star rating,1821 2nd Ave,Yorkville
Tasty Bagels,7182361389,99.0,$,"Bagels, Salad, Breakfast & Brunch",4 star rating,1705 86th St,Bensonhurst
Heartland Bagels,7187614289,99.0,$,"Bakeries, Bagels",4 star rating,2311 Richmond Ave,Heartland Village
Bagel Boss - Lake Success,5164377100,102.0,$,"Bagels, Bakeries",3 star rating,1564 Union Tpke,
Cafe Fresco,2125359030,103.0,$,"Delis, Cafes, Bagels",3 star rating,1239 1st Ave,Upper East Side
Milk & Pull,3476278511,103.0,$,"Coffee & Tea, Bagels, Sandwiches",3.5 star rating,181 Irving Ave,Bushwick
Chelsea Bagel Of Tudor City,2123687777,104.0,$,"Bagels, Cafes",3.5 star rating,800 2nd Ave,Midtown East
Atlantic Bagels Cafe,7182549000,104.0,$,"Breakfast & Brunch, Bagels, Cafes",3 star rating,200 Clinton St,Brooklyn Heights
Bread Brothers Bagel Cafe - Greenpoint,7185763837,105.0,$,"Bagels, Coffee & Tea, Breakfast & Brunch",3 star rating,912 Manhattan Ave,Greenpoint
Bagels by the Park,7182461321,105.0,$,Bagels,2.5 star rating,323 Smith St,Gowanus
The Bad Bagel,9293243130,105.0,$,"Sandwiches, Breakfast & Brunch, Bagels",3 star rating,40 Wyckoff Ave,Bushwick
The Bushwick Diner,7185522455,106.0,$$,"Bagels, Diners, Breakfast & Brunch",2.5 star rating,299 Wyckoff Ave,Bushwick
Bergen Boulevard Bagels,2019449003,106.0,$,Bagels,4 star rating,438 Bergen Blvd,
Cafe Panino Mucho Giusto,2122292799,106.0,$,"Bagels, Breakfast & Brunch, Cafes",4.5 star rating,551 Hudson St,West Village
Ange Noir Cafe,7183661520,107.0,$,"Coffee & Tea, Breakfast & Brunch, Bagels",4 star rating,247 Varet St,East Williamsburg
Sunset Bagels,7188338233,107.0,$,Bagels,2 star rating,8624 5th Ave,Bay Ridge
Skyline Gourmet Deli,2124592500,107.0,$,"Delis, Coffee & Tea, Bagels",4 star rating,700 10th Ave,Hell's Kitchen
Russ & Daughters at the Jewish Museum - Temp. CLOSED,2124754880,108.0,$$,"Kosher, Bagels, Sandwiches",3.5 star rating,,Upper East Side
Dyker Park Bagels,7188366336,108.0,$,"Bagels, Breakfast & Brunch, Coffee & Tea",3.5 star rating,713 86th St,Bay Ridge
Bagel Boss,5162481155,109.0,$,"Bagels, Delis",3 star rating,43 Old Country Rd,
Daily Bagel,2123714907,109.0,$,"Coffee & Tea, Bagels",2.5 star rating,1111 First Ave,Upper East Side
Milk N Honey NYC,2127644400,109.0,$,"Pizza, Bagels, Kosher",3 star rating,12 E 46th St,Midtown East
Prospect Provisions,3477632777,110.0,,"Sandwiches, Breakfast & Brunch, Bagels",5 star rating,597 4th Ave,South Slope
Steves Bagels,7186805010,111.0,$,"Coffee & Tea, Bagels",3 star rating,6907 4th Ave,Bay Ridge
Black Seed Bagels,6469151500,111.0,$$,"Bagels, Breakfast & Brunch, Sandwiches",2.5 star rating,1188 Broadway,Flatiron
Bagelberry,7189321425,111.0,$,"Bagels, Korean, Cafes",3.5 star rating,3113 30th Ave,Astoria
Slims Bagels and Bialys,7186311345,112.0,$,"Bakeries, Bagels",2.5 star rating,25431 Horace Harding Expy,Douglaston
Shelskys Brooklyn Bagels,7188558817,113.0,,"Bagels, Coffee & Tea, Sandwiches",3 star rating,453 4th Ave,South Slope
Highway Bagels,7183369200,113.0,$,"Bagels, Breakfast & Brunch, Sandwiches",2.5 star rating,1923 Kings Hwy,Midwood
Davidovich Bakery,6469186763,114.0,$,"Bagels, Coffee & Tea, Bakeries",3.5 star rating,88 Essex St,Lower East Side
Empire Bagels,7188284530,114.0,$,Bagels,4.5 star rating,3101 Westchester Ave,Pelham Bay
Glendale Bagels & Quality Deli,7183811363,119.0,$,"Bagels, Wraps, Sandwiches",4 star rating,6935 Myrtle Ave,Glendale
The Bagel Mill,2124260868,120.0,$,"Bagels, Sandwiches, Coffee & Tea",2.5 star rating,1700 1st Ave,Yorkville
Bagels N Cream,7189692640,122.0,$,Bagels,3 star rating,80-02 Surrey Pl,Hillcrest
Nagles Bagels,3473053007,125.0,$,"Coffee & Tea, Bagels, Breakfast & Brunch",2.5 star rating,378 Tompkins Ave,Bedford Stuyvesant
The Bagel Factory - 17th St,7187680461,126.0,$,"Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,612 5th Ave,South Slope
Brooklyn Bagel & Coffee Company,2124773070,126.0,$,"Bagels, Coffee & Tea, Breakfast & Brunch",4.5 star rating,63 E 8th St,Greenwich Village
Hudson Bagels,2126752906,128.0,$,Bagels,3 star rating,82 Christopher St,West Village
Harrisons Bagel Shop,8627723631,130.0,$,"Coffee & Tea, Breakfast & Brunch, Bagels",4 star rating,111 Frank E Rodgers Blvd S,
Perk Up Cafe,2014360101,130.0,$$,"Coffee & Tea, Sandwiches, Bagels",4 star rating,317 Broadway,
Not Just Bagels,7183518870,131.0,$$,"Bagels, Breakfast & Brunch, Burgers",2.5 star rating,1910 Hylan Blvd,Grant City
94 Corner Cafe,2122801900,132.0,$,"Pizza, Sandwiches, Bagels",3 star rating,2518 Broadway,Upper West Side
Mr Bagelsworth,2019450122,133.0,$,"Bagels, Breakfast & Brunch, Sandwiches",2.5 star rating,725 River Rd,
Pick A Bagel,2127670208,133.0,$,"Bagels, Sandwiches",2.5 star rating,39 W End Ave,Upper West Side
Bk Bagels,7184432323,133.0,$,"Juice Bars & Smoothies, Coffee & Tea, Bagels",4 star rating,1120 Broadway,Bushwick
Zuckers Bagels & Smoked Fish,2122285100,134.0,$,"Bagels, Coffee & Tea, Delis",3 star rating,40 E 23rd St,Flatiron
Long Island Bagel Cafe - Long Beach,5164322582,135.0,$,"Cafes, Bagels, Delis",3 star rating,757 E Park Ave,
Long Island Bagel Cafe - Ocean Side / 24 Hour Bagel,5166787070,135.0,$$,"Bagels, Cafes, Delis",3.5 star rating,3452 Long Beach Rd,
Tal Bagels,2123878100,135.0,$,"Bagels, Breakfast & Brunch, Sandwiches",3.5 star rating,357 1st Ave,Stuyvesant Town
